kernel [0];class [1];nclusters [2];master (s) [3];master relative stdev (%) [4];slave (s) [5];slave relative stdev (%) [6];comm (s) [7];comm relative stdev (%) [8];data sent (MB) [9];data received (MB) [10];power (W) [11];power relative stdev (%) [12];energy (J) [13];energy relative stdev (%) [14]
fn;tiny;1;0.14;0.00034471841092318327;2142.69;0.0;2143.01;9.525116328549412e-05;0.05;0.05;4.32;0.11350740235325966;9260.31;0.12779150587861635
fn;tiny;2;0.14;0.0005265645884240434;1071.35;0.0;1072.12;0.00013678692785016618;0.05;0.05;4.33;0.09242144177448972;4651.52;0.09557155754281253
fn;tiny;4;0.14;0.00034471841092318327;535.67;0.0;536.75;0.0006005683385219753;0.05;0.05;4.33;0.09233610341643389;2338.57;0.05604649156765552
fn;tiny;8;0.14;0.00028146180000478485;267.84;0.0;268.94;0.04193326079236394;0.05;0.05;4.47;1.0635116006589471;1224.22;1.0603100054819965
fn;tiny;16;0.14;0.00028146061169862885;133.92;0.0;134.83;0.110553713375794;0.05;0.05;4.68;0.08550662676357236;666.97;0.09859872182923059
fn;small;1;0.57;8.630944762362322e-05;4286.46;0.0;4286.78;3.814115827750047e-05;0.09;0.09;4.28;0.25594512032951894;18358.37;0.24112523512565676
fn;small;2;0.57;0.00011142509628452735;2143.23;0.0;2144.41;3.392561871052334e-05;0.09;0.09;4.31;0.25416359977038083;9258.1;0.2447724716611538
fn;small;4;0.57;0.0001318401377183132;1071.62;0.0;1072.99;0.00029920917375325797;0.09;0.09;4.33;0.0;4664.42;0.037717944594811856
fn;small;8;0.57;0.00013184013771831322;535.81;0.0;536.98;0.0236704917263388;0.09;0.09;4.46;0.5383580080753666;2413.35;0.5710152088501825
fn;small;16;0.57;0.00011142509628452733;267.9;0.0;269.02;0.004067717116504948;0.09;0.09;4.69;0.26970385161351107;1296.7;0.2572913278832986
fn;standard;1;4.93;0.0;8577.22;0.0;8577.54;0.0;0.19;0.19;4.26;0.0;36549.92;0.0
fn;standard;2;4.93;0.0;4288.61;0.0;4291.4;0.0;0.19;0.19;4.32;0.0;18564.81;0.0
fn;standard;4;4.93;0.0;2144.31;0.0;2146.89;0.0;0.19;0.19;4.33;0.0;9328.94;0.0
fn;standard;8;4.93;0.0;1072.15;0.0;1074.09;0.0;0.19;0.19;4.44;0.0;4812.06;0.0
fn;standard;16;4.93;0.0;536.08;0.0;537.57;0.0;0.19;0.19;4.69;0.0;2575.6;0.0
fn;large;1;27.66;0.0;17171.64;0.0;17171.96;0.0;0.38;0.38;4.31;0.0;74135.26;0.0
fn;large;2;27.66;0.0;8585.82;0.0;8595.06;0.0;0.38;0.38;4.33;0.0;37374.99;0.0
fn;large;4;27.66;0.0;4292.91;0.0;4300.33;0.0;0.38;0.38;4.36;0.0;18872.05;0.0
fn;large;8;27.66;0.0;2146.46;0.0;2151.21;0.0;0.38;0.38;4.57;0.0;9985.53;0.0
fn;large;16;27.66;0.0;1073.23;0.0;1076.22;0.0;0.38;0.38;4.79;0.0;5314.25;0.0
fn;huge;1;118.54;0.0;34412.07;0.0;34412.4;0.0;0.75;0.75;4.28;0.0;147881.69;0.0
fn;huge;2;118.54;0.0;17206.04;0.0;17241.07;0.0;0.75;0.75;4.31;0.0;74861.68;0.0
fn;huge;4;118.54;0.0;8603.02;0.0;8629.79;0.0;0.75;0.75;4.34;0.0;37952.14;0.0
fn;huge;8;118.54;0.0;4301.51;0.0;4317.55;0.0;0.75;0.75;4.54;0.0;20142.54;0.0
fn;huge;16;118.54;0.0;2150.75;0.0;2159.8;0.0;0.75;0.75;4.67;0.0;10684.7;0.0
fast;tiny;1;0.0;nan;5.73;0.0;6.08;0.034690846788432914;4.0;4.18;4.16;0.11787727347368265;35.62;0.21641966390519304
fast;tiny;2;0.0;nan;2.86;0.0;3.53;0.07990768795947405;4.0;4.18;4.12;0.21709397839803327;27.01;0.3214237916796595
fast;tiny;4;0.0;nan;1.43;0.0;2.43;0.11040260490303509;4.0;4.18;4.1;0.1826089500621768;22.79;0.3184123083861523
fast;tiny;8;0.0;nan;0.72;0.0;1.8;6.478733713069379;4.0;4.18;4.29;0.5709766300193918;28.13;0.6030819897224104
